Alimento,Medida usual,g ou ml,CHO (g),"Calorias (kcal)"
Suco de morango com açúcar,copo duplo cheio,240,22,96
Suco de pessego,copo duplo cheio,240,8,38
Suco de tomate,copo duplo cheio,240,11,58
Suco de tomate enlatado,copo duplo cheio,240,10,49
Suco de uva engarrafado,copo duplo cheio,240,36,151
Suco de uva Kapo ®,caixinha,200,23,106
Sucrilhos,colher de sopa cheia,5,5,19
Suflê de espinafre,colher de sopa cheia,55,1,89
Suflê de legumes,colher de sopa cheia,55,5,70
Sundae caramelo (Mc’Donalds®),unidade,,51,323
Sundae chocolate (Bob’s®),unidade,172,80,463
Sundae chocolate (Mc’Donalds®),unidade,,40,290
Sundae morango (Mc’Donalds®),unidade,,47,292
Super McShake coco (Mc’ Donalds®),copo pequeno,300,50,312
Super McShake flocos (Mc’ Donalds®),copo pequeno,300,63,334
Super McShake morango (Mc’ Donalds®),copo pequeno,300,64,336
Sushi,unidade média,22,14,57
Sushi de Atum,unidade,30,7,40
Sushi de Salmao,unidade,30,7,38
Suspiro,unidade média,10,9,38
Sustagem,colher de sopa cheia,16,10,62
Tablete Alpino® Diet,unidade,30,17,143
Taça Habib’s®,unidade,330,69,554
Tainha,posta pequena,100,0,204
Tâmara seca,unidade,10,7,28
Tambaqui (filé cru),pedaço médio,100,0,151
Tangerina,unidade média,135,15,67
Tapioca pronta,unidade pequena,100,43,174
Tapioquinha com queijo e coco ralado,unidade pequena,100,62,430
Tapioquinha com tucumã,unidade média,100,48,360
Tartar de salmão,unidade,63,1,178
Tartar de salmão com molho sour cream,porção,100,5,265
Tarte de bacalhau,unidade média,90,27,282
Tatu (carne) recheado com lingüiça,fatia,100,3,259
Temaki (média),unidade,120,24,258
Temaki de Atum,unidade,100,18,157
Temaki de Salmao,unidade,100,18,190
Tempero Maggi® amaciante de carnes,colher de sopa cheia,10,2,14
Tempero Maggi® fondor,colher de sopa cheia,10,2,14
Tender,01 fatia fina,100,0,146
Terrine ligth (peito de peru),porção,130,14,131
Tiramissu,porção,100,21,364
Tiramissú de frutas,taça,200,23,138
"Tomate, purê de (enlatado)",colher de sopa cheia,20,1,8
Top sundae caramelo (Mc’ Donalds®),unidade,,77,508
Top sundae chocolate (Mc’ Donalds®),unidade,,65,475
Top sundae morango (Mc’ Donalds®),unidade,,73,478
Torradas,unidade,8,5,25
"Torradas alho,água e sal Casa Victoriana®",10 unidades,30,16,150
Torradas aperitivo,01 unidade,2,1,7
Torresmo,colher de sopa cheia,10,0,54
Torta Alemã,fatia pequena,50,16,192
Torta de banana (Mc’ Donalds®),unidade,,34,228
Torta de carne,fatia média,85,16,209
Torta de frango,fatia média,85,16,200
Torta de limão,fatia pequena,90,34,217
Torta de maçã (Mc’ Donalds®),unidade,,26,198
Torta holandesa,porção pequena,60,22,181
Torta mousse de limão Miss Daisy®,1/8 do pacote,60,16,121
Torta quente (Burguer King®),unidade,,24,142
Tortellini com recheio de carne,porção,190,33,367
Tremoço em conserva,colher de sopa,20,3,24
Trigo cozido,colher de sopa cheia,25,6,28
Trigo em grão,colher de sopa cheia,25,20,91
"Trigo, bolo de",fatia média,60,36,203
Triplo cheese (Bob’s®),unidade,245,35,694
Trufa de chocolate,unidade grande,30,15,140
Tucumã descascado,colher de sopa cheia,30,2,142
Tucunaré (filé cru),pedaço médio,100,0,102
Tutu de feijão,colher de sopa cheia,20,7,43
Uramaki califórnia,unidade,20,10,47
Uramaki salmão,unidade,22,10,62
Uramaki salmão,unidade,22,10,62
Uva comum,unidade,8,1,6
Uva do tipo européia,cacho pequeno,100,18,79
Uva itália (uva verde),unidade,8,1,6
Uva passa,01 colher de sopa cheia,18,14,55
Vaca atolada,concha média cheia,100,3,259
Vagem comum em conserva,colher de sopa cheia,20,1,4
Vagem cozida,colher de sopa cheia,20,2,8
Vatapá,unidade,100,9,127
Vinagre,colher de sopa cheia,10,0,2
Vinho (média),taça,150,6,26
Vinho branco,taça,150,5,21
Vinho branco seco,taça,150,0,99
Vinho de jenipapo,taça,150,38,152
Vinho quente,01 copo,150,24,98
Vitamina de fruta com suco,copo duplo cheio,240,49,223
Waffer®- média sabores,unidade,"7,5",3,21
Whopper JR® com queijo (Burguer King®),unidade,,31,464
Whopper® com queijo (Burguer King®),unidade,,52,757
Whopper® duplo com queijo (Burguer King®),unidade,,52,978
Xinxim de galinha,porção,150,1,358
Yakult®,unidade,80,11,50
